"X.."	"X.logFC."	"X.logCPM."	"X.LR."	"X.PValue."	"X.FDR."	"Mouse"	"Human"	"Drosophila"	"Aplysia.clifornica"	"Saccoglossus.kowalevskii"	"Cluster"
"PladumEVm020579"	"PladumEVm020579"	1.03472084234598	2.80868261944481	13.1806263991849	0.000282858191587086	0.00576591736047911	"tr|G3UYP4|G3UYP4_MOUSE Potassium voltage-gated channel subfamily KQT member 5 OS=Mus musculus OX=10090 GN=Kcnq5 PE=1 SV=1"	"NP_001153606.1 potassium voltage-gated channel subfamily KQT member 5 isoform 5 [Homo sapiens]"	"gi|221330119|ref|NP_001137632.1| KCNQ potassium channel, isoform D [Drosophila melanogaster]"	"XP_012934690.1 potassium voltage-gated channel subfamily KQT member 1 [Aplysia californica]"	"XP_006820358.1 PREDICTED: potassium voltage-gated channel subfamily KQT member 5-like [Saccoglossus kowalevskii]"	0
"PladumEVm019186"	"PladumEVm019186"	1.16991390081753	2.79700675448191	13.1359148072772	0.000289688797185282	0.00589140680142991	"sp|P11416|RARA_MOUSE Retinoic acid receptor alpha OS=Mus musculus OX=10090 GN=Rara PE=1 SV=1"	"XP_024309728.1 estrogen-related receptor gamma isoform X7 [Homo sapiens]"	"gi|28573924|ref|NP_788303.1| hormone receptor-like in 46, isoform A [Drosophila melanogaster]"	"XP_012940090.1 peroxisome proliferator-activated receptor alpha [Aplysia californica]"	"XP_006825846.1 PREDICTED: retinoic acid receptor beta-like [Saccoglossus kowalevskii]"	0
"PladumEVm015986"	"PladumEVm015986"	1.10830333737314	4.53600258791988	13.1345852007659	0.000289894448144366	0.00589215946696684	"sp|Q8K0C4|CP51A_MOUSE Lanosterol 14-alpha demethylase OS=Mus musculus OX=10090 GN=Cyp51a1 PE=1 SV=1"	"NP_000777.1 lanosterol 14-alpha demethylase isoform 1 precursor [Homo sapiens]"	"gi|18860031|ref|NP_572721.1| Cyp4g15, isoform A [Drosophila melanogaster]"	"XP_005103142.1 lanosterol 14-alpha demethylase [Aplysia californica]"	"XP_002741586.1 PREDICTED: lanosterol 14-alpha demethylase-like [Saccoglossus kowalevskii]"	0
"PladumEVm010178"	"PladumEVm010178"	1.02213214986334	2.61103320113582	13.1255267838629	0.000291299440894978	0.00590895859015445	"sp|P47934|CACP_MOUSE Carnitine O-acetyltransferase OS=Mus musculus OX=10090 GN=Crat PE=1 SV=3"	"XP_016869764.1 carnitine O-acetyltransferase isoform X1 [Homo sapiens]"	"gi|939620258|ref|NP_001303419.1| carnitine O-Acetyl-Transferase, isoform E [Drosophila melanogaster]"	"XP_012938402.1 carnitine O-acetyltransferase [Aplysia californica]"	"XP_006824053.1 PREDICTED: LOW QUALITY PROTEIN: choline O-acetyltransferase-like [Saccoglossus kowalevskii]"	0
"PladumEVm015679"	"PladumEVm015679"	1.03313039332103	2.64804741142067	13.1248965068989	0.000291397454158279	0.00590895859015445	"sp|Q9CX98|CP2U1_MOUSE Cytochrome P450 2U1 OS=Mus musculus OX=10090 GN=Cyp2u1 PE=2 SV=2"	"NP_898898.1 cytochrome P450 2U1 [Homo sapiens]"	"gi|24643092|ref|NP_728191.1| cytochrome P450-18a1, isoform A [Drosophila melanogaster]"	"XP_012935790.1 cytochrome P450 1A1 [Aplysia californica]"	"XP_002737962.1 PREDICTED: cytochrome P450 1A1-like [Saccoglossus kowalevskii]"	3
"PladumEVm093910"	"PladumEVm093910"	-2.6596942067789	-0.274523783547684	13.0799195277894	0.000298478277284745	0.00604202348206934	"."	"."	"."	"."	"."	1
"PladumEVm004655"	"PladumEVm004655"	-1.84215686223842	1.85344465386344	13.0721778539657	0.000299714449825462	0.00606353396783546	"sp|Q923L3|CSMD1_MOUSE CUB and sushi domain-containing protein 1 OS=Mus musculus OX=10090 GN=Csmd1 PE=1 SV=2"	"NP_699197.3 sushi, von Willebrand factor type A, EGF and pentraxin domain-containing protein 1 precursor [Homo sapiens]"	"gi|161077775|ref|NP_001096961.1| furrowed, isoform B [Drosophila melanogaster]"	"XP_012938062.1 sushi, von Willebrand factor type A, EGF and pentraxin domain-containing protein 1 [Aplysia californica]"	"XP_006814579.1 PREDICTED: sushi, von Willebrand factor type A, EGF and pentraxin domain-containing protein 1-like [Saccoglossus kowalevskii]"	6
"PladumEVm076654"	"PladumEVm076654"	2.99994385544786	-0.277656138722256	13.0687251913304	0.000300267426092432	0.006070657719304	"."	"."	"."	"XP_035827799.1 uncharacterized protein LOC101846602 isoform X5 [Aplysia californica]"	"."	0
"PladumEVm017711"	"PladumEVm017711"	1.04395571910917	2.37928842820353	13.0650439482	0.000300858144738778	0.00607611717862899	"."	"."	"."	"XP_035829225.1 uncharacterized protein LOC101847791 [Aplysia californica]"	"XP_006824987.1 PREDICTED: uncharacterized protein LOC102801431 [Saccoglossus kowalevskii]"	0
"PladumEVm178720"	"PladumEVm178720"	-2.56658150173056	1.26179151918265	13.0399164288312	0.000304921702568452	0.00615462701677593	"."	"."	"."	"."	"."	1
"PladumEVm100394"	"PladumEVm100394"	-1.04812350506383	6.36401270146234	13.0376841475458	0.000305285366882154	0.00615840960363487	"."	"."	"."	"."	"."	5
"PladumEVm017390"	"PladumEVm017390"	1.10260952195885	2.84417143912767	12.9913344253039	0.000312935868358732	0.0063054592298649	"sp|Q9WUZ9|ENTP5_MOUSE Ectonucleoside triphosphate diphosphohydrolase 5 OS=Mus musculus OX=10090 GN=Entpd5 PE=1 SV=1"	"XP_024305526.1 ectonucleoside triphosphate diphosphohydrolase 5 isoform X1 [Homo sapiens]"	"gi|17137562|ref|NP_477370.1| NTPase, isoform A [Drosophila melanogaster]"	"XP_035828066.1 ectonucleoside triphosphate diphosphohydrolase 5 isoform X1 [Aplysia californica]"	"XP_002740456.2 PREDICTED: ectonucleoside triphosphate diphosphohydrolase 5-like [Saccoglossus kowalevskii]"	2
"PladumEVm027500"	"PladumEVm027500"	1.52281691319713	7.39998977284981	12.984408405803	0.000314095565525767	0.00632517865354741	"sp|P06797|CATL1_MOUSE Procathepsin L OS=Mus musculus OX=10090 GN=Ctsl PE=1 SV=2"	"NP_666023.1 cathepsin L1 isoform 1 preproprotein [Homo sapiens]"	"gi|24653514|ref|NP_523735.2| cysteine proteinase-1, isoform C [Drosophila melanogaster]"	"XP_005096721.1 cathepsin L1 isoform X2 [Aplysia californica]"	"XP_006813635.1 PREDICTED: cathepsin L1-like [Saccoglossus kowalevskii]"	10
"PladumEVm118456"	"PladumEVm118456"	-2.0385675611729	0.484556993368861	12.9674550225853	0.00031695257001266	0.00636832159387804	"."	"."	"."	"."	"."	9
"PladumEVm075760"	"PladumEVm075760"	2.17972104878449	-0.100910983767592	12.9673695776926	0.000316967035454762	0.00636832159387804	"tr|Q8BP18|Q8BP18_MOUSE Zinc finger protein 101 OS=Mus musculus OX=10090 GN=Zfp101 PE=1 SV=1"	"XP_024307279.1 zinc finger protein 793 isoform X1 [Homo sapiens]"	"gi|281359856|ref|NP_572196.3| uncharacterized protein Dmel_CG32772, isoform C [Drosophila melanogaster]"	"XP_005105778.1 uncharacterized protein LOC101859807 isoform X2 [Aplysia californica]"	"XP_006824207.1 PREDICTED: endothelial zinc finger protein induced by tumor necrosis factor alpha-like [Saccoglossus kowalevskii]"	0
"PladumEVm031100"	"PladumEVm031100"	1.26976245354995	5.10245948964021	12.9377481413681	0.000322022145632378	0.00646245361645587	"sp|O89079|COPE_MOUSE Coatomer subunit epsilon OS=Mus musculus OX=10090 GN=Cope PE=1 SV=3"	"NP_009194.2 coatomer subunit epsilon isoform a [Homo sapiens]"	"gi|19920832|ref|NP_609037.1| coat protein (coatomer) epsilon [Drosophila melanogaster]"	"XP_005103288.2 coatomer subunit epsilon [Aplysia californica]"	"XP_002738830.1 PREDICTED: coatomer subunit epsilon-like [Saccoglossus kowalevskii]"	3
"PladumEVm096342"	"PladumEVm096342"	1.12583667745365	5.14904134843657	12.9336955772636	0.000322720037922227	0.00647274133465253	"."	"."	"."	"XP_005103540.1 uncharacterized protein LOC101858288 isoform X2 [Aplysia californica]"	"XP_002739166.1 PREDICTED: thyrotroph embryonic factor-like [Saccoglossus kowalevskii]"	8
"PladumEVm101837"	"PladumEVm101837"	-2.53493719714451	2.13961583729392	12.9251800281191	0.000324191474485871	0.00649852319395402	"."	"."	"."	"."	"."	2
"PladumEVm109386"	"PladumEVm109386"	-1.52855064298672	1.72115134032917	12.854065708177	0.000336746795471236	0.00674246205556993	"."	"."	"."	"."	"."	0
"PladumEVm009359"	"PladumEVm009359"	-1.24221923427231	2.16912418342933	12.8503394575972	0.000337418028137709	0.00675203235114743	"sp|A2AVA0|SVEP1_MOUSE Sushi, von Willebrand factor type A, EGF and pentraxin domain-containing protein 1 OS=Mus musculus OX=10090 GN=Svep1 PE=1 SV=1"	"NP_699197.3 sushi, von Willebrand factor type A, EGF and pentraxin domain-containing protein 1 precursor [Homo sapiens]"	"."	"XP_035826884.1 von Willebrand factor A domain-containing protein 2-like [Aplysia californica]"	"XP_006816609.1 PREDICTED: sushi, von Willebrand factor type A, EGF and pentraxin domain-containing protein 1-like [Saccoglossus kowalevskii]"	10
"PladumEVm100526"	"PladumEVm100526"	-1.36759257553723	0.791176723436984	12.8459753367847	0.000338205880020824	0.00676392400804096	"."	"."	"."	"."	"."	0
"PladumEVm066616"	"PladumEVm066616"	1.93211293490228	3.29378562875812	12.8090707320878	0.000344942859447064	0.00688683346641199	"tr|E9Q606|E9Q606_MOUSE Actin, cytoplasmic 1 (Fragment) OS=Mus musculus OX=10090 GN=Actb PE=1 SV=1"	"NP_001092.1 actin, cytoplasmic 1 [Homo sapiens]"	"gi|17647133|ref|NP_523625.1| actin 42A [Drosophila melanogaster]"	"XP_012944352.1 actin, cytoplasmic [Aplysia californica]"	"XP_006821146.1 PREDICTED: actin 2 isoform X2 [Saccoglossus kowalevskii]"	3
"PladumEVm006474"	"PladumEVm006474"	1.21208833000468	1.60411011960211	12.7983110499577	0.000346932416423466	0.0069186482291207	"tr|G3X9Z7|G3X9Z7_MOUSE Intraflagellar transport protein 88 homolog OS=Mus musculus OX=10090 GN=Ift88 PE=1 SV=1"	"NP_783195.2 intraflagellar transport protein 88 homolog isoform 1 [Homo sapiens]"	"gi|281365345|ref|NP_523613.4| no mechanoreceptor potential B, isoform C [Drosophila melanogaster]"	"XP_012943144.1 intraflagellar transport protein 88 homolog [Aplysia californica]"	"XP_006822667.1 PREDICTED: intraflagellar transport protein 88 homolog [Saccoglossus kowalevskii]"	0
"PladumEVm005519"	"PladumEVm005519"	1.37858524622033	1.47613750932532	12.7829782450448	0.000349787596557623	0.00697160800691774	"."	"."	"."	"."	"."	1
"PladumEVm140950"	"PladumEVm140950"	1.53443031986617	1.88780880234048	12.7798744657568	0.000350368440973103	0.0069792035114933	"."	"."	"."	"."	"."	0
"PladumEVm007448"	"PladumEVm007448"	1.00917703474717	4.66807403093175	12.7612276075171	0.000353878568067849	0.00703708781429856	"sp|Q8R4H9|ZNT5_MOUSE Zinc transporter 5 OS=Mus musculus OX=10090 GN=Slc30a5 PE=1 SV=1"	"XP_006714735.1 zinc transporter 5 isoform X2 [Homo sapiens]"	"gi|24645863|ref|NP_650049.1| zinc transporter 86D [Drosophila melanogaster]"	"XP_005095709.1 zinc transporter 5 [Aplysia californica]"	"XP_006818948.1 PREDICTED: zinc transporter 5-like [Saccoglossus kowalevskii]"	0
"PladumEVm042583"	"PladumEVm042583"	2.17496329452666	0.119194584261566	12.7528895085053	0.000355459605456398	0.00706049070781187	"sp|P24472|GSTA4_MOUSE Glutathione S-transferase A4 OS=Mus musculus OX=10090 GN=Gsta4 PE=1 SV=3"	"NP_665683.1 glutathione S-transferase A1 isoform 1 [Homo sapiens]"	"gi|442623993|ref|NP_001261040.1| glutathione S transferase S1, isoform D [Drosophila melanogaster]"	"XP_005112476.2 glutathione S-transferase alpha-5 [Aplysia californica]"	"XP_006813791.1 PREDICTED: glutathione S-transferase A4-like [Saccoglossus kowalevskii]"	0
"PladumEVm021068"	"PladumEVm021068"	1.10702015022495	3.21221649205609	12.7248914493026	0.000360820798429755	0.0071629078842825	"."	"."	"."	"XP_035829147.1 uncharacterized protein LOC101852218 [Aplysia californica]"	"XP_006821633.1 PREDICTED: AT-rich interactive domain-containing protein 1A-like [Saccoglossus kowalevskii]"	0
"PladumEVm039842"	"PladumEVm039842"	1.28011404689719	3.03346049966779	12.6932314339836	0.000366981528092689	0.00728053753519087	"sp|Q6QD59|SEC20_MOUSE Vesicle transport protein SEC20 OS=Mus musculus OX=10090 GN=Bnip1 PE=1 SV=1"	"NP_001196.2 vesicle transport protein SEC20 isoform BNIP1 [Homo sapiens]"	"gi|24644438|ref|NP_649595.1| CG2023, isoform A [Drosophila melanogaster]"	"XP_005103746.1 vesicle transport protein SEC20 [Aplysia californica]"	"XP_002731936.1 PREDICTED: vesicle transport protein SEC20-like [Saccoglossus kowalevskii]"	0
"PladumEVm093893"	"PladumEVm093893"	-1.68071903115623	0.465742406499651	12.6923071310407	0.000367162973668574	0.00728053753519087	"."	"."	"."	"."	"."	3
"PladumEVm090669"	"PladumEVm090669"	-3.26498918683222	-0.153151254348582	12.6888877941447	0.000367834994539476	0.0072821015055056	"."	"."	"."	"."	"."	0
"PladumEVm024510"	"PladumEVm024510"	1.2307416448366	2.26888727337863	12.6888253244978	0.000367847283571636	0.0072821015055056	"."	"."	"."	"."	"."	2
"PladumEVm006817"	"PladumEVm006817"	-1.10594140536158	2.57424566849641	12.688724514714	0.000367867115750805	0.0072821015055056	"."	"."	"."	"."	"."	7
"PladumEVm035142"	"PladumEVm035142"	1.44896718757682	4.21073776075152	12.6820304744171	0.000369186442007005	0.00730407989653609	"sp|Q8K2Q2|GSTO2_MOUSE Glutathione S-transferase omega-2 OS=Mus musculus OX=10090 GN=Gsto2 PE=1 SV=1"	"NP_004823.1 glutathione S-transferase omega-1 isoform 1 [Homo sapiens]"	"gi|21355775|ref|NP_648235.1| sepia [Drosophila melanogaster]"	"XP_005089958.1 glutathione S-transferase omega-1 [Aplysia californica]"	"XP_002738505.1 PREDICTED: glutathione S-transferase omega-1-like [Saccoglossus kowalevskii]"	3
"PladumEVm020637"	"PladumEVm020637"	-1.10046695012304	4.76522617785125	12.6627890935661	0.000373005355733409	0.00737128626921356	"sp|Q9D6N1|CAH13_MOUSE Carbonic anhydrase 13 OS=Mus musculus OX=10090 GN=Ca13 PE=1 SV=1"	"NP_005173.1 carbonic anhydrase 7 isoform 1 [Homo sapiens]"	"gi|17737413|ref|NP_523561.1| carbonic anhydrase 1 [Drosophila melanogaster]"	"XP_012941697.1 carbonic anhydrase 1 [Aplysia californica]"	"XP_006814117.1 PREDICTED: carbonic anhydrase 13-like [Saccoglossus kowalevskii]"	10
"PladumEVm049462"	"PladumEVm049462"	4.73657227327491	1.65447669681647	12.6591384723492	0.000373734393746738	0.00737900545034562	"sp|Q9JKR6|HYOU1_MOUSE Hypoxia up-regulated protein 1 OS=Mus musculus OX=10090 GN=Hyou1 PE=1 SV=1"	"XP_016872584.1 hypoxia up-regulated protein 1 isoform X1 [Homo sapiens]"	"gi|20128923|ref|NP_569995.1| CG2918, isoform A [Drosophila melanogaster]"	"XP_035828013.1 hypoxia up-regulated protein 1 [Aplysia californica]"	"XP_006815044.1 PREDICTED: hypoxia up-regulated protein 1-like, partial [Saccoglossus kowalevskii]"	5
"PladumEVm032407"	"PladumEVm032407"	2.38654317232594	0.220794860579893	12.6587184816254	0.00037381835905755	0.00737900545034562	"sp|Q80VR3|ST1C1_MOUSE Sulfotransferase 1C1 OS=Mus musculus OX=10090 GN=Sult1c1 PE=1 SV=1"	"NP_001008743.1 sulfotransferase 1C3 isoform 2 [Homo sapiens]"	"gi|221468277|ref|NP_611815.3| sulfotransferase 1 [Drosophila melanogaster]"	"XP_005109747.1 sulfotransferase family cytosolic 1B member 1 isoform X1 [Aplysia californica]"	"NP_001161505.1 aryl sulfotransferase [Saccoglossus kowalevskii]"	3
"PladumEVm015337"	"PladumEVm015337"	1.32008380356212	4.03509990209885	12.6319252063075	0.000379214434361312	0.0074728556808516	"tr|Q8VCA4|Q8VCA4_MOUSE Cyp4f15 protein OS=Mus musculus OX=10090 GN=Cyp4f15 PE=1 SV=1"	"NP_001356625.1 cytochrome P450 4F3 isoform b [Homo sapiens]"	"gi|17864130|ref|NP_524598.1| cytochrome P450-4c3 [Drosophila melanogaster]"	"XP_035827662.1 cytochrome P450 4A24 [Aplysia californica]"	"XP_002741860.1 PREDICTED: cytochrome P450 4F6-like [Saccoglossus kowalevskii]"	0
"PladumEVm095946"	"PladumEVm095946"	-1.59926131286172	1.29209056371564	12.6269769674559	0.000380219554917883	0.00748493821588209	"."	"."	"."	"."	"."	0
"PladumEVm100685"	"PladumEVm100685"	-1.08273539183277	3.16796039328945	12.6267976616406	0.000380256027167083	0.00748493821588209	"."	"."	"."	"."	"."	9
"PladumEVm028714"	"PladumEVm028714"	-1.68835470286002	0.150261405401769	12.583344372617	0.000389199655370087	0.00765236171017191	"."	"."	"."	"XP_035824558.1 uncharacterized protein LOC118477364 [Aplysia californica]"	"XP_006814515.1 PREDICTED: uncharacterized protein LOC102809399 [Saccoglossus kowalevskii]"	1
"PladumEVm076616"	"PladumEVm076616"	1.02551434258894	9.46431387057067	12.5801282373054	0.00038986997944727	0.00766123015292922	"."	"."	"."	"."	"."	0
"PladumEVm032556"	"PladumEVm032556"	1.15039887631658	1.69001823275445	12.5689682079187	0.000392205057595142	0.00770278387145401	"."	"."	"."	"."	"."	10
"PladumEVm119491"	"PladumEVm119491"	-1.70001143992489	0.927464872078917	12.5271786576986	0.000401074963685908	0.00784611318937399	"."	"."	"."	"."	"."	0
"PladumEVm014468"	"PladumEVm014468"	1.84450452862568	-0.0833565511916192	12.5246283896212	0.000401622768713104	0.00785243308117914	"."	"."	"."	"."	"XP_006825538.1 PREDICTED: uncharacterized protein LOC102804363 [Saccoglossus kowalevskii]"	0
"PladumEVm062830"	"PladumEVm062830"	-2.09094490666427	2.10181528415785	12.5097124278007	0.000404841912788472	0.00790880392658147	"."	"."	"."	"."	"."	1
"PladumEVm045587"	"PladumEVm045587"	1.01324906252171	4.9168413391303	12.5091737808406	0.000404958648634885	0.00790880392658147	"."	"."	"."	"."	"."	6
"PladumEVm089602"	"PladumEVm089602"	2.99095165200397	0.080433343601197	12.5059023884823	0.000405668356232684	0.00791424831366205	"tr|B1AS15|B1AS15_MOUSE Membrane metallo-endopeptidase-like 1 OS=Mus musculus OX=10090 GN=Mmel1 PE=1 SV=1"	"XP_016857802.1 membrane metallo-endopeptidase-like 1 isoform X4 [Homo sapiens]"	"gi|24640050|ref|NP_511056.2| neprilysin 1, isoform A [Drosophila melanogaster]"	"XP_012939247.1 neprilysin-1 [Aplysia californica]"	"XP_006819215.1 PREDICTED: endothelin-converting enzyme 1-like [Saccoglossus kowalevskii]"	0
"PladumEVm040273"	"PladumEVm040273"	1.06862148594519	3.94528317336168	12.50580062729	0.000405690452782528	0.00791424831366205	"tr|E0CX98|E0CX98_MOUSE Bax inhibitor 1 (Fragment) OS=Mus musculus OX=10090 GN=Tmbim6 PE=1 SV=1"	"XP_024304942.1 bax inhibitor 1 isoform X2 [Homo sapiens]"	"gi|21355991|ref|NP_648205.1| Bax Inhibitor-1, isoform A [Drosophila melanogaster]"	"XP_005108925.1 probable Bax inhibitor 1 [Aplysia californica]"	"XP_006813948.1 PREDICTED: bax inhibitor 1-like, partial [Saccoglossus kowalevskii]"	8
"PladumEVm097251"	"PladumEVm097251"	5.65066292374855	-0.872819009214978	12.4963832322015	0.000407740622119813	0.00794980446218981	"."	"."	"."	"."	"XP_006817536.1 PREDICTED: protein PRRC2C-like [Saccoglossus kowalevskii]"	0
"PladumEVm095220"	"PladumEVm095220"	-1.54591805137369	1.10881337982517	12.4843165364267	0.000410382829419952	0.00799685760016939	"."	"."	"."	"."	"."	0
"PladumEVm022202"	"PladumEVm022202"	1.46510634988481	1.48967106648808	12.4771236646804	0.000411966040795938	0.008018764066501	"sp|O55123|MMP10_MOUSE Stromelysin-2 OS=Mus musculus OX=10090 GN=Mmp10 PE=2 SV=1"	"NP_002414.1 matrilysin preproprotein [Homo sapiens]"	"gi|45552531|ref|NP_995788.1| matrix metalloproteinase 2, isoform B [Drosophila melanogaster]"	"XP_005107864.2 uncharacterized protein LOC101848145 [Aplysia californica]"	"XP_002731327.1 PREDICTED: matrix metalloproteinase-19-like [Saccoglossus kowalevskii]"	2
"PladumEVm028680"	"PladumEVm028680"	1.25159686243887	4.08114703011395	12.4279590495424	0.000422953862850095	0.00820976945228859	"."	"."	"."	"XP_005092832.1 crystallin J1C [Aplysia californica]"	"."	2
"PladumEVm041100"	"PladumEVm041100"	1.26874293780382	3.11452355038658	12.4218401404177	0.000424341913005104	0.00822331269892715	"sp|Q8BHC4|DCAKD_MOUSE Dephospho-CoA kinase domain-containing protein OS=Mus musculus OX=10090 GN=Dcakd PE=1 SV=1"	"XP_011523564.1 dephospho-CoA kinase domain-containing protein isoform X1 [Homo sapiens]"	"gi|24644728|ref|NP_649692.2| Dephospho-CoA kinase [Drosophila melanogaster]"	"XP_005089641.1 dephospho-CoA kinase domain-containing protein [Aplysia californica]"	"XP_002741436.1 PREDICTED: dephospho-CoA kinase domain-containing protein-like [Saccoglossus kowalevskii]"	0
"PladumEVm055434"	"PladumEVm055434"	-1.09827816646005	5.63980718695785	12.421770774545	0.000424357674694916	0.00822331269892715	"."	"."	"."	"."	"."	2
"PladumEVm109543"	"PladumEVm109543"	1.44863551499712	7.2415139003452	12.4157498006302	0.000425728046297768	0.00824529501640671	"."	"."	"."	"."	"."	6
"PladumEVm001809"	"PladumEVm001809"	-1.13358007121373	3.52961376978363	12.4036477911563	0.000428495981135375	0.00829430531018773	"sp|Q8BGA3|LRRT2_MOUSE Leucine-rich repeat transmembrane neuronal protein 2 OS=Mus musculus OX=10090 GN=Lrrtm2 PE=2 SV=1"	"NP_056379.1 leucine-rich repeat transmembrane neuronal protein 2 precursor [Homo sapiens]"	"gi|19922678|ref|NP_611561.1| Leucine-rich repeat activity-regulated protein at synapses [Drosophila melanogaster]"	"XP_005109420.2 leucine-rich repeat-containing G-protein coupled receptor 4 [Aplysia californica]"	"."	7
"PladumEVm021616"	"PladumEVm021616"	-2.27965113169356	-0.0324827750655837	12.401401024048	0.000429011849800773	0.00829969270220887	"."	"."	"."	"."	"."	0
"PladumEVm021627"	"PladumEVm021627"	-1.58483857601171	2.0350382075353	12.3880858939511	0.000432081955384151	0.00834061405478832	"tr|V9GX34|V9GX34_MOUSE CUB and Sushi multiple domains 2 OS=Mus musculus OX=10090 GN=Csmd2 PE=1 SV=2"	"XP_016855679.1 CUB and sushi domain-containing protein 2 isoform X3 [Homo sapiens]"	"gi|161077775|ref|NP_001096961.1| furrowed, isoform B [Drosophila melanogaster]"	"XP_012938062.1 sushi, von Willebrand factor type A, EGF and pentraxin domain-containing protein 1 [Aplysia californica]"	"XP_006816702.1 PREDICTED: protein mesh-like, partial [Saccoglossus kowalevskii]"	1
"PladumEVm036427"	"PladumEVm036427"	-1.41339818436503	1.96078235118147	12.3477001735072	0.000441530064667167	0.00851358660563253	"."	"."	"."	"."	"."	0
"PladumEVm004405"	"PladumEVm004405"	1.01710246156802	2.24343211329355	12.3451532035283	0.000442132861267735	0.00852050746819272	"."	"."	"."	"XP_005107408.1 ankyrin repeat domain-containing protein 54 isoform X2 [Aplysia californica]"	"."	0
"PladumEVm106285"	"PladumEVm106285"	-1.97101857418425	0.207872031407843	12.3360658383233	0.000444290361617356	0.00855736546005998	"."	"."	"."	"."	"."	1
"PladumEVm037853"	"PladumEVm037853"	1.08028623955067	3.03810899577651	12.3347178735479	0.000444611295696674	0.00855882868338628	"."	"."	"."	"XP_012946929.1 uncharacterized protein LOC101862247 [Aplysia californica]"	"."	2
"PladumEVm003033"	"PladumEVm003033"	-1.23014986454095	1.67328765680209	12.3321410338098	0.000445225461181652	0.00856593193184236	"tr|A0A5F8MPZ7|A0A5F8MPZ7_MOUSE Ubiquitinyl hydrolase 1 OS=Mus musculus OX=10090 GN=Alg13 PE=1 SV=1"	"XP_011529336.1 putative bifunctional UDP-N-acetylglucosamine transferase and deubiquitinase ALG13 isoform X8 [Homo sapiens]"	"."	"XP_035824265.1 putative bifunctional UDP-N-acetylglucosamine transferase and deubiquitinase ALG13 [Aplysia californica]"	"XP_006823738.1 PREDICTED: putative bifunctional UDP-N-acetylglucosamine transferase and deubiquitinase ALG13-like [Saccoglossus kowalevskii]"	6
"PladumEVm102082"	"PladumEVm102082"	-1.53037019868741	2.17486750234558	12.3141504848071	0.000449537258310242	0.00862988036708877	"."	"."	"."	"."	"."	10
"PladumEVm003187"	"PladumEVm003187"	1.05592867065998	1.75061304823548	12.310639131153	0.000450383726955731	0.00864138222740598	"tr|E3UVT8|E3UVT8_MOUSE Anion exchange protein OS=Mus musculus OX=10090 GN=Slc4a7 PE=1 SV=1"	"XP_011509811.1 sodium-driven chloride bicarbonate exchanger isoform X1 [Homo sapiens]"	"gi|442626523|ref|NP_001260180.1| Na[+]-driven anion exchanger 1, isoform G [Drosophila melanogaster]"	"XP_035828979.1 sodium-driven chloride bicarbonate exchanger isoform X8 [Aplysia californica]"	"XP_002736672.2 PREDICTED: anion exchange protein 2-like [Saccoglossus kowalevskii]"	3
"PladumEVm050788"	"PladumEVm050788"	2.94362735942733	-0.435477957045803	12.295124721808	0.000454143021074367	0.00870872832783606	"."	"."	"."	"."	"."	0
"PladumEVm112305"	"PladumEVm112305"	-1.64822944181977	0.497693976240556	12.2831857911438	0.00045705748769269	0.00875980886587762	"."	"."	"."	"."	"."	1
"PladumEVm037755"	"PladumEVm037755"	-1.41399769600896	3.55090037444765	12.2576890642027	0.000463344963431867	0.00887544390205373	"."	"."	"."	"."	"."	9
"PladumEVm111457"	"PladumEVm111457"	1.12189819238453	4.74037693607049	12.2489375953772	0.00046552313193766	0.00891228093521639	"."	"."	"."	"."	"."	2
"PladumEVm021542"	"PladumEVm021542"	1.19858077927895	3.96820096125701	12.2459939942827	0.000466258089976227	0.00892146298229977	"sp|Q921H8|THIKA_MOUSE 3-ketoacyl-CoA thiolase A, peroxisomal OS=Mus musculus OX=10090 GN=Acaa1a PE=1 SV=1"	"NP_001598.1 3-ketoacyl-CoA thiolase, peroxisomal isoform a [Homo sapiens]"	"gi|24655093|ref|NP_612094.2| CG9149 [Drosophila melanogaster]"	"XP_005096572.1 3-ketoacyl-CoA thiolase B, peroxisomal [Aplysia californica]"	"XP_002742159.1 PREDICTED: 3-ketoacyl-CoA thiolase A, peroxisomal-like [Saccoglossus kowalevskii]"	3
"PladumEVm080662"	"PladumEVm080662"	-2.58392893764913	1.00218716499507	12.221587976314	0.00047239706257248	0.00902903772933253	"."	"."	"."	"."	"."	0
"PladumEVm105918"	"PladumEVm105918"	1.51669466727393	4.88302630899327	12.2193072449845	0.000472974898024154	0.009035139399708	"."	"."	"."	"."	"."	2
"PladumEVm019236"	"PladumEVm019236"	1.6237717089975	0.406662532728908	12.2099189175741	0.000475361002072554	0.00907080177575804	"."	"."	"."	"."	"."	0
"PladumEVm026819"	"PladumEVm026819"	1.02346963190372	3.59157288680771	12.1950040054412	0.000479176729950515	0.00913862214396345	"sp|Q91X78|ERLN1_MOUSE Erlin-1 OS=Mus musculus OX=10090 GN=Erlin1 PE=1 SV=2"	"XP_024302826.1 erlin-2 isoform X1 [Homo sapiens]"	"."	"XP_005089259.1 erlin-1 [Aplysia californica]"	"XP_006820497.1 PREDICTED: erlin-2-like [Saccoglossus kowalevskii]"	2
